,Series_Title,Genre,Overview
0,The Shawshank Redemption,drama,imprison men bond number year find solac eventu redempt act common decenc
1,The Godfather,crime drama,organ crime dynasti age patriarch transfer control clandestin empir reluct son
2,The Dark Knight,action crime drama,menac known joker wreak havoc chao peopl gotham batman accept greatest psycholog physic test abil fight injustic
3,The Godfather: Part II,crime drama,earli life career vito corleon s new york citi portray son michael expand tighten grip famili crime syndic
4,12 Angry Men,crime drama,juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid
5,The Lord of the Rings: The Return of the King,action adventur drama,gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom ring
6,Pulp Fiction,crime drama,live mob hitmen boxer gangster wife pair diner bandit intertwin tale violenc redempt
7,Schindler's List,biographi drama histori,germanoccupi poland world war ii industrialist oskar schindler gradual concern jewish workforc wit persecut nazi
8,Inception,action adventur scifi,thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo
9,Fight Club,drama,insomniac offic worker devilmaycar soapmak form underground fight club evolv
10,The Lord of the Rings: The Fellowship of the Ring,action adventur drama,meek hobbit shire companion set journey destroy power ring save middleearth dark lord sauron
11,Forrest Gump,drama romanc,presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq desir reunit childhood sweetheart
12,"Il buono, il brutto, il cattivo",western,bounti hunt scam join men uneasi allianc race fortun gold buri remot cemeteri
13,The Lord of the Rings: The Two Towers,action adventur drama,frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard
14,The Matrix,action scifi,beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig
15,Goodfellas,biographi crime drama,stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic
16,Star Wars: Episode V - The Empire Strikes Back,action adventur fantasi,rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi
17,One Flew Over the Cuckoo's Nest,drama,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient
18,Hamilton,biographi drama histori,real life america foremost found father secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast
19,Gisaengchung,comedi drama thriller,greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan
20,Soorarai Pottru,drama,nedumaaran rajangam maara set make common man fli process take world capit intens industri enemi stand way
21,Interstellar,adventur drama scifi,team explor travel wormhol space attempt ensur human surviv
22,Cidade de Deus,crime drama,slum rio kid path diverg struggl photograph kingpin
23,Sen to Chihiro no kamikakushi,anim adventur famili,famili suburb sullen yearold girl wander world rule god witch spirit human chang beast
24,Saving Private Ryan,drama war,follow normandi land group soldier enemi line retriev paratroop brother kill action
25,The Green Mile,crime drama fantasi,live guard death row affect charg black man accus child murder rape mysteri gift
26,La vita è bella,comedi drama romanc,openmind jewish librarian son victim holocaust use perfect mixtur humor imagin protect son danger camp
27,Se7en,crime drama mysteri,detect rooki veteran hunt serial killer use seven deadli sin motiv
28,The Silence of the Lambs,crime drama thriller,young fbi cadet receiv help incarcer manipul cannib killer help catch serial killer madman skin victim
29,Star Wars,action adventur fantasi,luke skywalk join forc jedi knight cocki pilot wookie droid save galaxi empir worlddestroy battl station attempt rescu princess leia mysteri darth vader
30,Seppuku,action drama mysteri,ronin request seppuku feudal lord palac told brutal suicid ronin previous visit reveal past intertwin do challeng clan integr
31,Shichinin no samurai,action adventur drama,poor villag attack bandit recruit seven unemploy samurai help defend
32,It's a Wonderful Life,drama famili fantasi,angel sent heaven help desper frustrat businessman show life like exist
33,Joker,crime drama thriller,gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker
34,Whiplash,drama music,promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop realiz student potenti
35,The Intouchables,biographi comedi drama,quadripleg paraglid accid aristocrat hire young man project caregiv
36,The Prestige,drama mysteri scifi,tragic accid stage magician engag battl creat ultim illus sacrif outwit
37,The Departed,crime drama thriller,undercov cop mole polic attempt identifi infiltr irish gang south boston
38,The Pianist,biographi drama music,polish jewish musician struggl surviv destruct warsaw ghetto world war ii
