,Series_Title,Released_Year,Genre,Overview,IMDB_Rating,Director,Stars
0,The Shawshank Redemption,1994,drama,imprison men bond number year find solac eventu redempt act common decenc,9.3,frank darabont,tim robbin morgan freeman bob gunton william sadler
1,The Godfather,1972,crime drama,organ crime dynasti age patriarch transfer control clandestin empir reluct son,9.2,franci ford coppola,marlon brando al pacino jame caan dian keaton
2,The Dark Knight,2008,action crime drama,menac known joker wreak havoc chao peopl gotham batman accept greatest psycholog physic test abil fight injustic,9.0,christoph nolan,christian bale heath ledger aaron eckhart michael cain
3,The Godfather: Part II,1974,crime drama,earli life career vito corleon s new york citi portray son michael expand tighten grip famili crime syndic,9.0,franci ford coppola,al pacino robert niro robert duval dian keaton
4,12 Angry Men,1957,crime drama,juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid,9.0,sidney lumet,henri fonda lee j cobb martin balsam john fiedler
5,The Lord of the Rings: The Return of the King,2003,action adventur drama,gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom ring,8.9,peter jackson,elijah wood viggo mortensen ian mckellen orlando bloom
6,Pulp Fiction,1994,crime drama,live mob hitmen boxer gangster wife pair diner bandit intertwin tale violenc redempt,8.9,quentin tarantino,john travolta uma thurman samuel l jackson bruce willi
7,Schindler's List,1993,biographi drama histori,germanoccupi poland world war ii industrialist oskar schindler gradual concern jewish workforc wit persecut nazi,8.9,steven spielberg,liam neeson ralph fienn ben kingsley carolin goodal
8,Inception,2010,action adventur scifi,thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo,8.8,christoph nolan,leonardo dicaprio joseph gordonlevitt elliot page ken watanab
9,Fight Club,1999,drama,insomniac offic worker devilmaycar soapmak form underground fight club evolv,8.8,david fincher,brad pitt edward norton meat loaf zach grenier
10,The Lord of the Rings: The Fellowship of the Ring,2001,action adventur drama,meek hobbit shire companion set journey destroy power ring save middleearth dark lord sauron,8.8,peter jackson,elijah wood ian mckellen orlando bloom sean bean
11,Forrest Gump,1994,drama romanc,presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq desir reunit childhood sweetheart,8.8,robert zemecki,tom hank robin wright gari sinis salli field
12,"Il buono, il brutto, il cattivo",1966,western,bounti hunt scam join men uneasi allianc race fortun gold buri remot cemeteri,8.8,sergio leon,clint eastwood eli wallach lee van cleef aldo giuffrè
13,The Lord of the Rings: The Two Towers,2002,action adventur drama,frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard,8.7,peter jackson,elijah wood ian mckellen viggo mortensen orlando bloom
14,The Matrix,1999,action scifi,beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig,8.7,lana wachowski,lilli wachowski keanu reev laurenc fishburn carrieann moss
15,Goodfellas,1990,biographi crime drama,stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic,8.7,martin scorses,robert niro ray liotta joe pesci lorrain bracco
16,Star Wars: Episode V - The Empire Strikes Back,1980,action adventur fantasi,rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi,8.7,irvin kershner,mark hamil harrison ford carri fisher billi dee william
17,One Flew Over the Cuckoo's Nest,1975,drama,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient,8.7,milo forman,jack nicholson louis fletcher michael berryman peter brocco
18,Hamilton,2020,biographi drama histori,real life america foremost found father secretari treasuri alexand hamilton captur live broadway richard rodger theater origin broadway cast,8.6,thoma kail,linmanuel miranda phillipa soo lesli odom jr rené elis goldsberri
19,Gisaengchung,2019,comedi drama thriller,greed class discrimin threaten newli form symbiot relationship wealthi park famili destitut kim clan,8.6,bong joon ho,kangho song lee sunkyun cho yeojeong choi woosik
20,Soorarai Pottru,2020,drama,nedumaaran rajangam maara set make common man fli process take world capit intens industri enemi stand way,8.6,sudha kongara,suriya madhavan paresh rawal aparna balamurali
21,Interstellar,2014,adventur drama scifi,team explor travel wormhol space attempt ensur human surviv,8.6,christoph nolan,matthew mcconaughey ann hathaway jessica chastain mackenzi foy
22,Cidade de Deus,2002,crime drama,slum rio kid path diverg struggl photograph kingpin,8.6,fernando meirel,kátia lund alexandr rodrigu leandro firmino matheu nachtergael
23,Sen to Chihiro no kamikakushi,2001,anim adventur famili,famili suburb sullen yearold girl wander world rule god witch spirit human chang beast,8.6,hayao miyazaki,daveigh chase suzann pleshett miyu irino rumi hiiragi
24,Saving Private Ryan,1998,drama war,follow normandi land group soldier enemi line retriev paratroop brother kill action,8.6,steven spielberg,tom hank matt damon tom sizemor edward burn
25,The Green Mile,1999,crime drama fantasi,live guard death row affect charg black man accus child murder rape mysteri gift,8.6,frank darabont,tom hank michael clark duncan david mors bonni hunt
26,La vita è bella,1997,comedi drama romanc,openmind jewish librarian son victim holocaust use perfect mixtur humor imagin protect son danger camp,8.6,roberto benigni,roberto benigni nicoletta braschi giorgio cantarini giustino durano
27,Se7en,1995,crime drama mysteri,detect rooki veteran hunt serial killer use seven deadli sin motiv,8.6,david fincher,morgan freeman brad pitt kevin spacey andrew kevin walker
28,The Silence of the Lambs,1991,crime drama thriller,young fbi cadet receiv help incarcer manipul cannib killer help catch serial killer madman skin victim,8.6,jonathan demm,jodi foster anthoni hopkin lawrenc bonney kasi lemmon
29,Star Wars,1977,action adventur fantasi,luke skywalk join forc jedi knight cocki pilot wookie droid save galaxi empir worlddestroy battl station attempt rescu princess leia mysteri darth vader,8.6,georg luca,mark hamil harrison ford carri fisher alec guin
30,Seppuku,1962,action drama mysteri,ronin request seppuku feudal lord palac told brutal suicid ronin previous visit reveal past intertwin do challeng clan integr,8.6,masaki kobayashi,tatsuya nakadai akira ishihama shima iwashita tetsurô tanba
31,Shichinin no samurai,1954,action adventur drama,poor villag attack bandit recruit seven unemploy samurai help defend,8.6,akira kurosawa,toshirô mifun takashi shimura keiko tsushima yukiko shimazaki
32,It's a Wonderful Life,1946,drama famili fantasi,angel sent heaven help desper frustrat businessman show life like exist,8.6,frank capra,jame stewart donna reed lionel barrymor thoma mitchel
33,Joker,2019,crime drama thriller,gotham citi mental troubl comedian arthur fleck disregard mistreat societi embark downward spiral revolut bloodi crime path bring facetofac alterego joker,8.5,todd phillip,joaquin phoenix robert niro zazi beetz franc conroy
34,Whiplash,2014,drama music,promis young drummer enrol cutthroat music conservatori dream great mentor instructor stop realiz student potenti,8.5,damien chazel,mile teller jk simmon melissa benoist paul reiser
35,The Intouchables,2011,biographi comedi drama,quadripleg paraglid accid aristocrat hire young man project caregiv,8.5,olivi nakach,éric toledano françoi cluzet omar sy ann le ny
36,The Prestige,2006,drama mysteri scifi,tragic accid stage magician engag battl creat ultim illus sacrif outwit,8.5,christoph nolan,christian bale hugh jackman scarlett johansson michael cain
37,The Departed,2006,crime drama thriller,undercov cop mole polic attempt identifi infiltr irish gang south boston,8.5,martin scorses,leonardo dicaprio matt damon jack nicholson mark wahlberg
38,The Pianist,2002,biographi drama music,polish jewish musician struggl surviv destruct warsaw ghetto world war ii,8.5,roman polanski,adrien brodi thoma kretschmann frank finlay emilia fox
39,Gladiator,2000,action adventur drama,roman gener set exact vengeanc corrupt emperor murder famili sent slaveri,8.5,ridley scott,russel crow joaquin phoenix conni nielsen oliv reed
40,American History X,1998,drama,neonazi skinhead tri prevent younger brother go wrong path did,8.5,toni kay,edward norton edward furlong beverli dangelo jennif lien
41,The Usual Suspects,1995,crime mysteri thriller,sole survivor tell twisti event lead horrif gun battl boat began crimin met seemingli random polic lineup,8.5,bryan singer,kevin spacey gabriel byrn chazz palminteri stephen baldwin
42,Léon,1994,action crime drama,mathilda yearold girl reluctantli taken léon profession assassin famili murder unusu relationship form protégé learn assassin trade,8.5,luc besson,jean reno gari oldman natali portman danni aiello
43,The Lion King,1994,anim adventur drama,lion princ simba father target bitter uncl want ascend throne,8.5,roger aller,rob minkoff matthew broderick jeremi iron jame earl jone
44,Terminator 2: Judgment Day,1991,action scifi,cyborg ident fail kill sarah connor protect teenag son john connor advanc power cyborg,8.5,jame cameron,arnold schwarzenegg linda hamilton edward furlong robert patrick
45,Nuovo Cinema Paradiso,1988,drama romanc,filmmak recal childhood fall love pictur cinema home villag form deep friendship cinema projectionist,8.5,giusepp tornator,philipp noiret enzo cannaval antonella attili isa dani
46,Hotaru no haka,1988,anim drama war,young boy littl sister struggl surviv japan world war ii,8.5,isao takahata,tsutomu tatsumi ayano shiraishi akemi yamaguchi yoshiko shinohara
47,Back to the Future,1985,adventur comedi scifi,marti mcfli yearold high school student accident sent thirti year past timetravel delorean invent close friend eccentr scientist doc brown,8.5,robert zemecki,michael j fox christoph lloyd lea thompson crispin glover
48,Once Upon a Time in the West,1968,western,mysteri stranger harmonica join forc notori desperado protect beauti widow ruthless assassin work railroad,8.5,sergio leon,henri fonda charl bronson claudia cardinal jason robard
49,Psycho,1960,horror mysteri thriller,phoenix secretari embezzl employ client goe run check remot motel run young man domin mother,8.5,alfr hitchcock,anthoni perkin janet leigh vera mile john gavin
50,Casablanca,1942,drama romanc war,cynic expatri american cafe owner struggl decid help lover fugit husband escap nazi french morocco,8.5,michael curtiz,humphrey bogart ingrid bergman paul henreid claud rain
51,Modern Times,1936,comedi drama famili,tramp struggl live modern industri societi help young homeless woman,8.5,charl chaplin,charl chaplin paulett goddard henri bergman tini sandford
52,City Lights,1931,comedi drama romanc,aid wealthi errat tippler dewyey tramp fallen love sightless flower girl accumul money abl help medic,8.5,charl chaplin,charl chaplin virginia cherril florenc lee harri myer
53,Capharnaüm,2018,drama,serv fiveyear sentenc violent crime yearold boy sue parent neglect,8.4,nadin labaki,zain al rafeea yordano shiferaw boluwatif treasur bankol kawsar al haddad
54,Ayla: The Daughter of War,2017,biographi drama histori,amidst ravag korean war sergeant süleyman stumbl halffrozen littl girl parent help sight frantic scare verg death summari,8.4,ulkay,erdem çetin tekindor ismail hacioglu kyungjin lee
55,Vikram Vedha,2017,action crime drama,vikram nononsens polic offic accompani simon partner hunt captur vedha smuggler murder vedha tri chang vikram life lead conflict,8.4,gayatri,pushkar madhavan vijay sethupathi shraddha srinath
56,Kimi no na wa.,2016,anim drama fantasi,stranger link bizarr way connect form distanc thing apart,8.4,makoto shinkai,ryûnosuk kamiki mone kamishiraishi ryô narita aoi yûki
57,Dangal,2016,action biographi drama,wrestler mahavir singh phogat wrestler daughter struggl glori commonwealth game face societ oppress,8.4,nitesh tiwari,aamir khan sakshi tanwar fatima sana shaikh sanya malhotra
58,Spider-Man: Into the Spider-Verse,2018,anim action adventur,teen mile moral spiderman univers join spiderpow individu dimens stop threat realiti,8.4,bob persichetti,peter ramsey rodney rothman shameik moor jake johnson
59,Avengers: Endgame,2019,action adventur drama,devast event aveng infin war univers ruin help remain alli aveng assembl order revers thano action restor balanc univers,8.4,anthoni russo,joe russo robert downey jr chri evan mark ruffalo
60,Avengers: Infinity War,2018,action adventur scifi,aveng alli will sacrific attempt defeat power thano blitz devast ruin put end univers,8.4,anthoni russo,joe russo robert downey jr chri hemsworth mark ruffalo
61,Coco,2017,anim adventur famili,aspir musician miguel confront famili ancestr ban music enter land dead greatgreatgrandfath legendari singer,8.4,lee unkrich,adrian molina anthoni gonzalez gael garcía bernal benjamin bratt
62,Django Unchained,2012,drama western,help german bounti hunter freed slave set rescu wife brutal mississippi plantat owner,8.4,quentin tarantino,jami foxx christoph waltz leonardo dicaprio kerri washington
63,The Dark Knight Rises,2012,action adventur,year joker reign anarchi batman help enigmat catwoman forc exil save gotham citi brutal guerrilla terrorist bane,8.4,christoph nolan,christian bale tom hardi ann hathaway gari oldman
64,3 Idiots,2009,comedi drama,friend search long lost companion revisit colleg day recal memori friend inspir think differ rest world call idiot,8.4,rajkumar hirani,aamir khan madhavan mona singh sharman joshi
65,Taare Zameen Par,2007,drama famili,eightyearold boy thought lazi troublemak new art teacher patienc compass discov real problem struggl school,8.4,aamir khan,amol gupt darsheel safari aamir khan tisca chopra
66,WALL·E,2008,anim adventur famili,distant futur small wastecollect robot inadvert embark space journey ultim decid fate mankind,8.4,andrew stanton,ben burtt elissa knight jeff garlin fred willard
67,The Lives of Others,2006,drama mysteri thriller,east berlin agent secret polic conduct surveil writer lover find increasingli absorb live,8.4,florian henckel von donnersmarck,ulrich mühe martina gedeck sebastian koch ulrich tukur
68,Oldeuboi,2003,action drama mysteri,kidnap imprison year oh daesu releas captor day,8.4,chanwook park,choi minsik yoo jita kang hyejeong kim byeongok
69,Memento,2000,mysteri thriller,man shortterm memori loss attempt track wife murder,8.4,christoph nolan,guy pearc carrieann moss joe pantoliano mark boon junior
70,Mononoke-hime,1997,anim action adventur,journey cure tatarigami curs ashitaka find middl war forest god tatara mine coloni quest meet san mononok hime,8.4,hayao miyazaki,yôji matsuda yuriko ishida yûko tanaka billi crudup
71,Once Upon a Time in America,1984,crime drama,prohibitionera jewish gangster return lower east manhattan thirti year later confront ghost regret old life,8.4,sergio leon,robert niro jame wood elizabeth mcgovern treat william
72,Raiders of the Lost Ark,1981,action adventur,archaeologist adventur indiana jone hire govern ark coven adolf hitler nazi obtain awesom power,8.4,steven spielberg,harrison ford karen allen paul freeman john rhysdavi
73,The Shining,1980,drama horror,famili head isol hotel winter sinist presenc influenc father violenc psychic son see horrif forebod past futur,8.4,stanley kubrick,jack nicholson shelley duval danni lloyd scatman crother
74,Apocalypse Now,1979,drama mysteri war,armi offic serv vietnam task assassin renegad special forc colonel see god,8.4,franci ford coppola,martin sheen marlon brando robert duval freder forrest
75,Alien,1979,horror scifi,space merchant vessel receiv unknown transmiss distress crew attack mysteri life form soon realiz life cycl mere begun,8.4,ridley scott,sigourney weaver tom skerritt john hurt veronica cartwright
76,Anand,1971,drama music,stori termin ill man wish live life fullest inevit occur told best friend,8.4,hrishikesh mukherje,rajesh khanna amitabh bachchan sumita sanyal ramesh deo
77,Tengoku to jigoku,1963,crime drama mysteri,execut shoe compani victim extort chauffeur son kidnap held ransom,8.4,akira kurosawa,toshirô mifun yutaka sada tatsuya nakadai kyôko kagawa
78,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,comedi,insan gener trigger path nuclear holocaust war room politician gener frantic tri stop,8.4,stanley kubrick,peter seller georg c scott sterl hayden keenan wynn
79,Witness for the Prosecution,1957,crime drama mysteri,veteran british barrist defend client murder trial surpris surpris,8.4,billi wilder,tyron power marlen dietrich charl laughton elsa lanchest
